,Url,BPM,BPM_Per_Year,MP,MPG,Pk,Player,Tm,VORP,VORP_Per_Year,WS,WS/48,WS_Per_Year,Year,Yrs
804,http://www.basketball-reference.com/players/p/perkike01.html,-0.4,-0.0307692307692,17147.0,22.0,27,Kendrick Perkins,BOS,7.0,2.14615384615,27.9,0.078,2.14615384615,2003,13.0
805,http://www.basketball-reference.com/players/p/perovko01.html,-6.7,-6.7,38.0,5.4,38,Kosta Perovic,GSW,0.0,0.0,0.0,0.0,0.0,2006,1.0
806,http://www.basketball-reference.com/players/p/petermo01.html,0.0,0.0,19366.0,27.2,21,Morris Peterson,TOR,9.7,3.24545454545,35.7,0.089,3.24545454545,2000,11.0
807,http://www.basketball-reference.com/players/p/petrojo01.html,-4.2,-0.525,7262.0,15.4,25,Johan Petro,OKC,-4.0,0.6875,5.5,0.037,0.6875,2005,8.0
808,http://www.basketball-reference.com/players/p/piercpa01.html,3.3,0.173684210526,45880.0,34.2,10,Paul Pierce,BOS,61.5,7.89473684211,150.0,0.157,7.89473684211,1998,19.0
809,http://www.basketball-reference.com/players/p/pietrmi01.html,-0.9,-0.09,11950.0,21.5,11,Mickael Pietrus,GSW,3.4,1.97,19.7,0.079,1.97,2003,10.0
810,http://www.basketball-reference.com/players/p/pittmde01.html,-6.0,-1.5,347.0,6.9,32,Dexter Pittman,MIA,-0.4,0.125,0.5,0.068,0.125,2010,4.0
811,http://www.basketball-reference.com/players/p/planizo01.html,-4.2,-1.4,1584.0,10.7,22,Zoran Planinic,BRK,-0.9,0.5,1.5,0.046,0.5,2003,3.0
812,http://www.basketball-reference.com/players/p/pleisti01.html,-8.1,-8.1,82.0,6.8,31,Tibor Pleiss,UTA,-0.1,-0.1,-0.1,0.0,-0.1,2010,1.0
813,http://www.basketball-reference.com/players/p/plumlma01.html,2.2,0.55,7250.0,23.0,22,Mason Plumlee,BRK,7.7,5.4,21.6,0.143,5.4,2013,4.0
814,http://www.basketball-reference.com/players/p/plumlmi01.html,-1.5,-0.3,4567.0,16.7,26,Miles Plumlee,IND,0.5,1.84,9.2,0.097,1.84,2012,5.0
815,http://www.basketball-reference.com/players/p/podkopa01.html,-18.8,-9.4,28.0,4.7,21,Pavel Podkolzin,DAL,-0.1,-0.05,-0.1,0.0,-0.05,2004,2.0
816,http://www.basketball-reference.com/players/p/poeltja01.html,-0.7,-0.7,626.0,11.6,9,Jakob Poeltl,TOR,0.2,1.6,1.6,0.125,1.6,2016,1.0
817,http://www.basketball-reference.com/players/p/pointsi01.html,0.0,0.0,0.0,0.0,53,Sir'Dominic Pointer,CLE,0.0,0.0,0.0,0.0,0.0,2015,0.0
818,http://www.basketball-reference.com/players/p/pollasc01.html,0.6,0.0545454545455,8372.0,16.5,19,Scot Pollard,DET,5.5,2.41818181818,26.6,0.153,2.41818181818,1997,11.0
819,http://www.basketball-reference.com/players/p/pondequ01.html,-1.0,-0.2,5042.0,18.1,26,Quincy Pondexter,NOP,1.2,1.82,9.1,0.087,1.82,2010,5.0
820,http://www.basketball-reference.com/players/p/popema01.html,-3.2,-0.533333333333,1634.0,10.7,52,Mark Pope,IND,-0.5,0.216666666667,1.3,0.038,0.216666666667,1996,6.0
